hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp
[64],0.4,LeakyReLU,48000,0.05,0.02,1.99755576150385,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.5,LeakyReLU,48000,0.05,0.01,2.013798605263906,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.5,LeakyReLU,48000,0.05,0.02,1.981444546979481,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.6,LeakyReLU,48000,0.05,0.01,1.9957274651653107,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.6,LeakyReLU,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.3,Tanh,48000,0.5,0.01,1.514628624331594,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.5,0.02,1.5979806629716669,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.5,0.01,1.649625973133803,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.5,0.02,1.6628175387112147,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.5,0.01,1.6678807789629897,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.5,0.02,1.6890484337178084,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.5,0.01,1.696755488543505,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.5,0.02,1.9421375800340308,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.25,0.01,1.4647052264303193,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.25,0.02,1.5926440236422605,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.25,0.01,1.5432258611447933,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.25,0.02,1.6373581961184869,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.25,0.01,1.5982441884096203,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.25,0.02,1.708013731226171,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.25,0.01,1.6559000472970629,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.25,0.02,1.9940109420776688,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.1,0.01,1.42662781919933,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.1,0.02,1.6217253082035785,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.1,0.01,1.5079507382409616,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.1,0.02,1.6938824555919916,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.1,0.01,1.5306730843691878,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.1,0.02,1.6879651443319708,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.1,0.01,1.515354115205226,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.1,0.02,1.8838065611332127,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.05,0.01,1.404944197027042,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.3,Tanh,48000,0.05,0.02,1.6264847907086126,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.05,0.01,1.4676072004262548,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.4,Tanh,48000,0.05,0.02,1.6569595655545626,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.05,0.01,1.5175150534301942,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.5,Tanh,48000,0.05,0.02,1.6849220527766833,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.05,0.01,1.5438670132284353,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.6,Tanh,48000,0.05,0.02,1.8663246298237892,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_Tanh_0.0
