hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp,FID
[64],0.05,LeakyReLU,50000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_32_0_50000_LeakyReLU_0.0,162.0341847219167
[64],0.05,Tanh,50000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_32_0_50000_Tanh_0.0,182.89432747054047
[64],0.05,LeakyReLU,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,127.5067151754674
[64],0.05,Tanh,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_64_0_48000_Tanh_0.0,174.72015937496542
[64],0.05,LeakyReLU,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,166.9019450567279
[64],0.05,Tanh,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.02_0.5_64_0_48000_Tanh_0.0,163.65029069429164
[64],0.1,LeakyReLU,48000,0.001,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.01_0.5_64_0_48000_LeakyReLU_0.0,359.2989428009083
[64],0.1,Tanh,48000,0.001,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.01_0.5_64_0_48000_Tanh_0.0,360.3692731390823
[64],0.1,LeakyReLU,48000,0.001,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.02_0.5_64_0_48000_LeakyReLU_0.0,350.4888490040167
[64],0.1,Tanh,48000,0.001,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.02_0.5_64_0_48000_Tanh_0.0,353.540557293949
[64],0.1,LeakyReLU,48000,0.005,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.01_0.5_64_0_48000_LeakyReLU_0.0,212.616089730041
[64],0.1,Tanh,48000,0.005,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.01_0.5_64_0_48000_Tanh_0.0,300.34388753840534
[64],0.1,LeakyReLU,48000,0.005,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.02_0.5_64_0_48000_LeakyReLU_0.0,236.03227124416756
[64],0.1,Tanh,48000,0.005,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.02_0.5_64_0_48000_Tanh_0.0,289.88777838579415
[64],0.1,LeakyReLU,50000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_32_0_50000_LeakyReLU_0.0,179.50624467582392
[64],0.1,Tanh,50000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_32_0_50000_Tanh_0.0,223.69289180273512
[64],0.1,LeakyReLU,48000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_64_0_48000_LeakyReLU_0.0,175.73053612521903
[64],0.1,Tanh,48000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_64_0_48000_Tanh_0.0,256.24338344522187
[64],0.1,LeakyReLU,48000,0.01,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.02_0.5_64_0_48000_LeakyReLU_0.0,192.07256138262554
[64],0.1,Tanh,48000,0.01,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.02_0.5_64_0_48000_Tanh_0.0,274.65162823803917
[64],0.1,LeakyReLU,50000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_32_0_50000_LeakyReLU_0.0,183.01260221933387
[64],0.1,Tanh,50000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_32_0_50000_Tanh_0.0,182.9227298342421
[64],0.1,LeakyReLU,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,148.79930158834267
[64],0.1,Tanh,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_64_0_48000_Tanh_0.0,164.6546538028446
[64],0.1,LeakyReLU,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,179.9741576029212
[64],0.1,Tanh,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.02_0.5_64_0_48000_Tanh_0.0,157.47924471966934
