model_fp,FID
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_Tanh_0.0,149.46960169389826
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_Tanh_0.0,150.38255604302478
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_Tanh_0.0,149.0569170983302
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_Tanh_0.0,152.4698875998721
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_Tanh_0.0,190.92079223796816
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_Tanh_0.0,175.0222537622311
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_Tanh_0.0,190.14876397566223
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_Tanh_0.0,163.71373815901995
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_Tanh_0.0,182.68509723997101
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_Tanh_0.0,154.13965474466332
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_Tanh_0.0,173.25315704825312
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_Tanh_0.0,147.4817418741838
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_Tanh_0.0,166.32390538180886
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_Tanh_0.0,181.36786513185896
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.01_0.5_64_0_48000_Tanh_0.0,170.59754693716792
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_Tanh_0.0,178.48053976384412
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_Tanh_0.0,177.02260995315152
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_Tanh_0.0,171.3308730724999
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_Tanh_0.0,177.2460528570502
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_Tanh_0.0,151.05836686011
